Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MSZoning,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
GasA,Ex,Y,SBrkr,1301,1116,2417,0,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,1991,Unf,2,TA,TA,Y,127,82,0,0,0,NA,NA,RL,16059,Pave,NA,Reg,Lvl,AllPub,Corner,NoRidge,Norm,Norm,1Fam,2Story,8,5,1991,1992,Hip,HdBoard,HdBoard,BrkFace,284,Gd,TA,CBlock,Gd,TA,No,Unf,0,1288,1288,NA,0,4,2006,WD,Normal,260000
GasA,Ex,Y,SBrkr,684,876,1560,0,0,2,1,3,1,Gd,6,Typ,1,Gd,BuiltIn,2005,Fin,2,TA,TA,Y,100,38,0,0,0,NA,NA,RL,11911,Pave,NA,IR2,Lvl,AllPub,Inside,Gilbert,Norm,Norm,1Fam,2Story,6,5,2005,2005,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,Av,Unf,0,684,684,NA,0,3,2009,WD,Normal,174000
GasA,Ex,Y,SBrkr,612,612,1224,0,0,2,1,2,1,Gd,4,Typ,0,NA,Detchd,2009,RFn,2,TA,TA,Y,0,234,0,0,0,NA,NA,FV,3951,Pave,Pave,Reg,Lvl,AllPub,Corner,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2009,2009,Gable,VinylSd,VinylSd,Stone,76,Gd,TA,PConc,Gd,TA,Av,Unf,0,612,612,NA,0,6,2009,New,Partial,164500
GasA,TA,N,SBrkr,1013,0,1526,0,0,1,0,2,1,Fa,6,Typ,0,NA,NA,NA,NA,0,NA,NA,N,0,0,0,0,0,NA,MnPrv,C (all),8470,Pave,NA,IR1,Lvl,AllPub,Corner,IDOTRR,Feedr,Feedr,1Fam,1.5Fin,3,2,1915,1982,Hip,Plywood,Plywood,None,0,Fa,Fa,CBlock,TA,Fa,No,Unf,0,1013,1013,NA,0,10,2009,ConLD,Abnorml,85000
GasA,Ex,Y,SBrkr,990,0,990,1,0,1,0,3,1,TA,5,Typ,0,NA,NA,NA,NA,0,NA,NA,Y,0,0,0,0,0,NA,NA,RL,8070,Pave,NA,Reg,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,4,5,1994,1995,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,GLQ,588,402,990,NA,0,8,2007,WD,Normal,123600
GasA,TA,Y,FuseA,1040,0,1040,0,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,1950,Unf,2,TA,TA,Y,0,29,0,0,0,NA,NA,RL,7200,Pave,NA,Reg,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,4,5,1950,1950,Gable,BrkFace,Wd Sdng,None,0,TA,TA,Slab,NA,NA,NA,NA,0,0,0,NA,0,7,2006,WD,Normal,109900
GasA,TA,Y,SBrkr,1235,0,1235,0,0,1,0,2,1,TA,6,Typ,0,NA,Attchd,1961,Unf,2,TA,TA,Y,0,0,0,0,0,NA,GdWo,RL,8500,Pave,NA,Reg,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,3,1961,1961,Hip,HdBoard,HdBoard,BrkCmn,203,TA,TA,CBlock,TA,TA,No,Rec,600,635,1235,NA,0,12,2006,WD,Abnorml,98600
GasA,Ex,Y,SBrkr,964,0,964,1,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1921,Unf,2,TA,TA,Y,0,0,0,0,0,NA,NA,RL,13360,Pave,Grvl,IR1,HLS,AllPub,Inside,Crawfor,Norm,Norm,1Fam,1Story,5,7,1921,2006,Gable,Wd Sdng,Wd Sdng,None,0,TA,Gd,BrkTil,Gd,TA,No,ALQ,713,163,876,NA,0,8,2009,WD,Normal,163500
GasW,Ex,N,SBrkr,1260,1031,2291,0,1,2,0,4,2,TA,9,Typ,1,Gd,Detchd,1900,Unf,2,TA,TA,Y,0,0,0,99,0,NA,NA,C (all),7200,Pave,NA,Reg,Lvl,AllPub,Corner,OldTown,Norm,Norm,2fmCon,2.5Unf,6,6,1910,1998,Hip,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,Fa,Mn,Rec,1046,168,1214,NA,0,11,2007,WD,Normal,133900
GasA,Ex,Y,SBrkr,905,881,1786,1,0,2,1,3,1,Gd,7,Typ,0,NA,Attchd,1997,RFn,2,TA,TA,Y,0,162,0,0,0,NA,NA,RL,9337,Pave,NA,IR1,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,6,5,1997,1997,Gable,VinylSd,VinylSd,None,0,TA,Gd,PConc,Gd,TA,No,GLQ,648,176,824,NA,0,5,2007,WD,Normal,204750
GasA,Gd,Y,SBrkr,680,790,1470,0,0,2,1,3,1,TA,6,Typ,1,TA,BuiltIn,1993,Fin,2,TA,TA,Y,232,63,0,0,0,NA,NA,RL,9765,Pave,NA,IR2,Lvl,AllPub,Corner,Gilbert,Norm,Norm,1Fam,2Story,6,8,1993,1993,Gable,VinylSd,VinylSd,BrkFace,68,Ex,Gd,PConc,Gd,Gd,No,ALQ,310,370,680,Shed,480,4,2009,WD,Normal,185000
GasA,Ex,Y,SBrkr,1588,0,1588,0,0,2,0,3,1,Gd,6,Typ,0,NA,Attchd,1999,RFn,2,TA,TA,Y,158,29,0,0,0,NA,NA,RL,10264,Pave,NA,IR1,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,1999,1999,Gable,VinylSd,VinylSd,BrkFace,183,Gd,TA,PConc,Gd,TA,Av,ALQ,1162,426,1588,NA,0,8,2006,WD,Normal,214000
GasA,TA,Y,FuseF,960,0,960,1,0,1,0,3,1,TA,6,Typ,0,NA,Attchd,1965,Fin,1,TA,TA,P,120,0,0,0,0,NA,NA,RL,10921,Pave,NA,Reg,HLS,AllPub,Inside,Edwards,Norm,Norm,1Fam,1Story,4,5,1965,1965,Hip,HdBoard,HdBoard,BrkFace,48,TA,TA,CBlock,TA,TA,No,Rec,520,440,960,NA,0,5,2007,WD,Normal,94750
GasA,Fa,N,SBrkr,835,0,835,0,0,1,0,2,1,TA,5,Typ,0,NA,Basment,1920,Unf,1,Fa,TA,Y,0,0,0,0,0,NA,NA,RL,10625,Pave,NA,Reg,Lvl,AllPub,Corner,Edwards,Norm,Norm,1Fam,1Story,5,5,1920,1950,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,ALQ,108,350,458,Shed,400,5,2010,COD,Abnorml,83000
GasA,Fa,Y,SBrkr,1225,0,1225,1,0,1,1,3,1,TA,6,Typ,0,NA,NA,NA,NA,0,NA,NA,Y,352,0,0,0,0,NA,NA,RL,9320,Pave,NA,IR1,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,4,5,1959,1959,Gable,Plywood,Plywood,None,0,TA,TA,CBlock,TA,TA,No,ALQ,569,381,950,Shed,400,1,2010,WD,Normal,128950
GasA,Gd,Y,SBrkr,1610,0,1610,1,0,2,0,3,1,Gd,6,Typ,2,TA,Attchd,1977,RFn,2,TA,TA,Y,168,68,0,0,0,NA,NA,RL,10603,Pave,NA,IR1,Lvl,AllPub,Inside,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2001,Gable,Plywood,Plywood,BrkFace,28,TA,TA,PConc,TA,TA,Mn,ALQ,1200,410,1610,NA,0,2,2010,WD,Normal,205000
GasA,TA,Y,SBrkr,977,755,1732,0,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,1985,Fin,2,TA,TA,Y,192,46,0,0,0,NA,NA,RL,9206,Pave,NA,Reg,Lvl,AllPub,Inside,SawyerW,Norm,Norm,1Fam,2Story,6,5,1985,1985,Gable,HdBoard,HdBoard,BrkFace,336,Gd,TA,CBlock,Gd,TA,No,Unf,0,741,741,NA,0,6,2010,WD,Normal,178000
GasA,TA,Y,SBrkr,1535,0,1535,0,0,2,0,4,2,TA,8,Typ,0,NA,Attchd,1979,Unf,2,TA,TA,Y,0,0,0,0,0,NA,NA,RL,7018,Pave,NA,Reg,Bnk,AllPub,Inside,SawyerW,Norm,Norm,Duplex,1Story,5,5,1979,1979,Gable,HdBoard,HdBoard,None,0,TA,Fa,Slab,NA,NA,NA,NA,0,0,0,NA,0,6,2009,WD,Alloca,118964
GasA,Ex,Y,SBrkr,1226,0,1226,0,0,2,0,3,1,Gd,6,Typ,0,NA,Attchd,2009,RFn,3,TA,TA,Y,0,36,0,0,0,NA,NA,RL,10402,Pave,NA,IR1,Lvl,AllPub,Corner,CollgCr,Norm,Norm,1Fam,1Story,7,5,2009,2009,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,1226,1226,NA,0,5,2010,WD,Normal,198900
GasA,Ex,Y,FuseF,1226,592,1818,0,0,1,1,4,1,TA,7,Typ,2,TA,Detchd,1951,Unf,1,TA,TA,Y,0,0,0,184,0,NA,NA,RM,7758,Pave,NA,Reg,Lvl,AllPub,Corner,IDOTRR,Norm,Norm,1Fam,1.5Fin,7,4,1931,1950,Gable,Stucco,Stucco,BrkFace,600,TA,Fa,PConc,TA,TA,No,LwQ,224,816,1040,NA,0,6,2007,WD,Normal,169500
GasA,Ex,Y,SBrkr,1053,939,1992,0,0,2,1,3,1,Gd,9,Typ,1,Gd,Attchd,2003,RFn,2,TA,TA,Y,140,45,0,0,0,NA,NA,FV,9375,Pave,NA,Reg,Lvl,AllPub,Inside,Somerst,Norm,Norm,1Fam,2Story,8,5,2003,2004,Hip,VinylSd,VinylSd,BrkFace,768,Gd,TA,PConc,Ex,TA,No,Unf,0,1053,1053,NA,0,8,2008,WD,Normal,250000
GasA,Gd,Y,SBrkr,1047,0,1047,0,0,1,0,2,1,TA,6,Typ,0,NA,Detchd,1954,Unf,1,Fa,Fa,N,0,0,0,0,0,NA,NA,RM,10800,Pave,Grvl,Reg,Lvl,AllPub,Inside,OldTown,Norm,Norm,1Fam,1Story,4,7,1885,1995,Mansard,VinylSd,VinylSd,None,0,TA,TA,BrkTil,Fa,TA,No,Unf,0,641,641,Shed,450,8,2007,WD,Normal,100000
GasA,Ex,Y,SBrkr,789,0,789,0,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1948,Unf,1,TA,TA,Y,0,0,0,0,0,NA,NA,RM,6000,Pave,NA,Reg,Lvl,AllPub,Inside,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,1950,Gable,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,ALQ,104,516,789,NA,0,4,2008,WD,Partial,115000
GasW,TA,N,FuseF,997,520,1517,0,0,2,0,3,1,Fa,7,Typ,0,NA,NA,NA,NA,0,NA,NA,N,0,0,0,0,0,NA,NA,RM,8500,Pave,NA,Reg,Lvl,AllPub,Corner,IDOTRR,Artery,Norm,1Fam,1.5Fin,5,7,1919,2005,Gable,CemntBd,CmentBd,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,793,793,NA,0,8,2007,WD,Normal,115000
GasA,Ex,Y,SBrkr,1844,0,1844,0,0,2,0,3,1,TA,7,Typ,1,TA,Attchd,1977,RFn,2,TA,TA,Y,0,122,0,0,0,NA,MnPrv,RL,11751,Pave,NA,IR1,Lvl,AllPub,Inside,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,Plywood,Plywood,BrkFace,480,TA,TA,CBlock,Gd,TA,No,BLQ,705,1139,1844,NA,0,1,2010,COD,Normal,190000
GasA,Gd,Y,SBrkr,1216,639,1855,0,0,2,0,4,1,TA,7,Typ,0,NA,Attchd,1954,Unf,1,TA,TA,Y,182,0,0,0,0,NA,NA,RL,9525,Pave,NA,Reg,Lvl,AllPub,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,6,4,1954,1972,Gable,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,Fa,No,Rec,444,550,994,NA,0,10,2006,WD,Normal,136900
GasA,Ex,Y,SBrkr,774,656,1430,0,0,2,1,3,1,TA,7,Typ,1,TA,BuiltIn,2000,Fin,2,TA,TA,Y,180,0,0,0,0,NA,NA,RL,7750,Pave,NA,IR1,Lvl,AllPub,Inside,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2000,2000,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,GLQ,250,134,384,NA,0,4,2010,WD,Normal,180000
GasA,Ex,Y,SBrkr,1282,1414,2696,1,0,2,1,4,1,Ex,10,Typ,1,Gd,BuiltIn,2007,Fin,3,TA,TA,Y,120,184,0,168,0,NA,NA,RL,9965,Pave,NA,Reg,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,2007,2007,Gable,VinylSd,VinylSd,Stone,220,Gd,TA,PConc,Ex,TA,Av,GLQ,984,280,1264,NA,0,10,2007,New,Partial,383970
GasA,TA,Y,SBrkr,2259,0,2259,1,0,2,0,3,1,Gd,7,Typ,2,Gd,Basment,1953,Unf,2,TA,TA,Y,166,120,0,0,0,NA,MnPrv,RL,21000,Pave,NA,Reg,Bnk,AllPub,Corner,Crawfor,Norm,Norm,1Fam,1Story,6,5,1953,1953,Hip,Wd Sdng,Wd Sdng,BrkFace,184,TA,Gd,CBlock,Gd,TA,Mn,ALQ,35,905,1809,NA,0,10,2007,COD,Abnorml,217000
GasA,Ex,Y,SBrkr,1436,884,2320,1,0,2,1,3,1,Gd,9,Typ,1,TA,Detchd,1945,Unf,1,TA,TA,Y,224,0,0,0,0,NA,MnPrv,RL,7259,Pave,NA,IR1,Lvl,AllPub,Inside,Crawfor,Norm,Norm,1Fam,2Story,6,8,1945,2002,Gambrel,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,ALQ,774,104,1028,NA,0,7,2007,WD,Normal,259500
GasA,Gd,Y,SBrkr,729,729,1458,0,0,2,1,2,1,TA,5,Typ,1,Fa,Detchd,1999,Unf,2,TA,TA,Y,0,32,0,0,0,NA,NA,FV,3230,Pave,Pave,Reg,Lvl,AllPub,Corner,Somerst,Norm,Norm,TwnhsE,2Story,6,5,1999,1999,Gable,MetalSd,MetalSd,BrkFace,1129,TA,TA,PConc,Gd,TA,No,GLQ,419,310,729,NA,0,6,2007,WD,Normal,176000
GasA,TA,Y,SBrkr,1092,0,1092,0,1,1,0,3,1,TA,6,Typ,1,Po,Attchd,1962,Unf,1,TA,TA,Y,0,20,0,0,0,NA,NA,RL,11616,Pave,NA,Reg,Lvl,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,5,1962,1962,Gable,Wd Sdng,Wd Sdng,BrkFace,116,TA,TA,CBlock,TA,TA,No,LwQ,170,252,1092,NA,0,9,2009,WD,Normal,139000
GasA,Gd,Y,SBrkr,1125,0,1125,0,0,1,1,2,1,TA,5,Typ,0,NA,Attchd,2007,Unf,2,TA,TA,Y,80,64,0,0,0,NA,NA,RL,8536,Pave,NA,Reg,Lvl,AllPub,Corner,Edwards,Norm,Norm,1Fam,1Story,5,5,2006,2007,Gable,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,1125,1125,NA,0,4,2007,New,Partial,155000
GasA,Gd,Y,SBrkr,1699,1523,3222,1,0,3,0,5,1,Gd,11,Typ,2,TA,Attchd,1990,Unf,3,TA,TA,Y,367,0,0,0,0,NA,NA,RL,12376,Pave,NA,Reg,Lvl,AllPub,Corner,SawyerW,Norm,Norm,1Fam,2Story,7,5,1990,1990,Hip,Plywood,Plywood,None,0,TA,TA,PConc,Gd,TA,Mn,GLQ,1470,203,1673,NA,0,5,2010,WD,Normal,320000
GasA,Ex,Y,SBrkr,728,728,1456,0,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,2005,Fin,2,TA,TA,Y,0,24,0,0,0,NA,NA,RL,8461,Pave,NA,Reg,Lvl,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,6,5,2005,2006,Gable,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,728,728,NA,0,7,2006,New,Partial,163990
GasA,Ex,Y,SBrkr,988,0,988,1,0,1,0,1,1,TA,4,Typ,2,TA,Attchd,1969,Unf,2,TA,TA,Y,0,130,130,0,0,NA,NA,RL,21453,Pave,NA,IR1,Low,AllPub,CulDSac,ClearCr,Norm,Norm,1Fam,SLvl,6,5,1969,1969,Flat,Plywood,Plywood,None,0,TA,TA,CBlock,TA,TA,Gd,ALQ,938,0,938,NA,0,10,2006,WD,Normal,180000
GasA,Gd,Y,SBrkr,772,351,1123,0,0,1,0,3,1,TA,4,Typ,0,NA,Detchd,1979,Unf,1,TA,TA,P,0,0,0,0,0,NA,MnPrv,RM,6060,Pave,NA,Reg,Lvl,AllPub,Inside,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,5,1939,1950,Gable,AsbShng,AsbShng,None,0,TA,TA,PConc,TA,TA,No,Unf,0,732,732,NA,0,6,2007,WD,Normal,100000
GasA,Gd,Y,SBrkr,1080,0,1080,0,0,1,0,3,1,TA,5,Typ,0,NA,Attchd,1958,Unf,1,TA,TA,Y,0,0,0,130,0,NA,NA,RL,9464,Pave,NA,Reg,Lvl,AllPub,Corner,NAmes,Norm,Norm,1Fam,1Story,6,7,1958,1958,Hip,MetalSd,MetalSd,BrkFace,135,TA,Gd,CBlock,TA,TA,No,BLQ,570,510,1080,NA,0,6,2008,WD,Normal,136000
GasA,Ex,Y,SBrkr,1199,0,1199,0,0,2,0,2,1,Gd,5,Typ,0,NA,Attchd,1993,RFn,2,TA,TA,Y,0,63,0,0,0,NA,NA,RL,7892,Pave,NA,Reg,Lvl,AllPub,Inside,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1993,1993,Gable,Plywood,Plywood,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,300,899,1199,NA,0,3,2008,WD,Normal,153900
GasA,TA,Y,SBrkr,1586,0,1586,0,0,2,0,3,1,TA,7,Typ,1,TA,Attchd,1979,Unf,2,TA,TA,Y,192,0,0,0,0,NA,NA,RL,17043,Pave,NA,IR1,Lvl,AllPub,CulDSac,NWAmes,Norm,Norm,1Fam,1Story,6,5,1979,1998,Gable,HdBoard,HdBoard,None,0,TA,Gd,CBlock,Gd,Fa,No,Unf,0,1362,1362,NA,0,1,2009,WD,Normal,181000
GasA,Gd,N,SBrkr,520,0,754,1,0,1,0,2,1,TA,5,Typ,0,NA,NA,NA,NA,0,NA,NA,N,53,0,0,0,0,NA,NA,RM,6780,Pave,NA,Reg,Lvl,AllPub,Inside,IDOTRR,Norm,Norm,2fmCon,1.5Fin,6,8,1935,1982,Gable,Wd Sdng,Wd Sdng,None,0,TA,Fa,CBlock,TA,TA,Av,GLQ,490,30,520,NA,0,6,2006,WD,Normal,84500
GasA,TA,Y,SBrkr,958,0,958,0,0,2,0,2,1,TA,5,Typ,1,TA,Attchd,1977,RFn,2,TA,TA,Y,0,205,0,0,0,NA,NA,RL,4928,Pave,NA,IR1,Lvl,AllPub,Inside,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1976,1976,Gable,Plywood,Plywood,None,0,TA,TA,CBlock,Gd,TA,No,ALQ,120,958,1078,NA,0,2,2007,WD,Normal,128000
GasA,Ex,Y,SBrkr,840,0,840,0,0,1,0,3,1,TA,5,Typ,1,TA,NA,NA,NA,0,NA,NA,N,0,0,0,0,0,NA,NA,RM,4388,Pave,NA,IR1,Bnk,AllPub,Inside,OldTown,Feedr,Norm,1Fam,1.5Unf,5,7,1930,1950,Gable,WdShing,Wd Sdng,None,0,TA,Gd,BrkTil,TA,TA,No,LwQ,116,556,672,NA,0,6,2007,WD,Normal,87000
GasA,TA,Y,SBrkr,660,688,1348,0,0,1,1,3,1,TA,6,Typ,1,Fa,Attchd,1966,RFn,2,TA,TA,Y,188,108,0,0,0,NA,NA,RL,7590,Pave,NA,Reg,Lvl,AllPub,Inside,NAmes,PosN,Norm,1Fam,2Story,6,5,1966,1966,Gable,VinylSd,VinylSd,BrkFace,266,TA,TA,CBlock,TA,TA,No,BLQ,512,148,660,NA,0,7,2006,WD,Normal,155000
GasA,TA,Y,FuseA,1053,0,1053,0,1,1,1,3,1,Ex,6,Typ,0,NA,2Types,1998,RFn,2,TA,TA,Y,0,80,180,0,0,NA,MnWw,RL,8973,Pave,NA,Reg,Lvl,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,7,1958,1991,Gable,Plywood,Plywood,BrkFace,85,TA,TA,CBlock,TA,TA,No,Rec,567,413,1008,NA,0,7,2006,WD,Abnorml,150000
GasA,Ex,Y,SBrkr,1216,941,2157,0,0,2,1,4,1,Gd,8,Typ,2,Gd,Attchd,1966,Fin,2,TA,TA,Y,105,66,0,0,0,NA,GdPrv,RL,14200,Pave,NA,Reg,Lvl,AllPub,Corner,NAmes,Norm,Norm,1Fam,2Story,7,6,1966,1966,Gable,MetalSd,MetalSd,BrkFace,309,TA,TA,CBlock,TA,TA,No,Rec,445,479,924,NA,0,5,2006,WD,Normal,226000
GasA,Ex,Y,SBrkr,1022,1032,2054,1,0,2,1,3,1,Gd,7,Typ,1,TA,BuiltIn,2000,RFn,2,TA,TA,Y,24,48,0,0,0,NA,NA,RL,12224,Pave,NA,IR1,Lvl,AllPub,Corner,Gilbert,Norm,Norm,1Fam,2Story,6,5,2000,2000,Gable,VinylSd,VinylSd,BrkFace,40,Gd,TA,PConc,Gd,TA,No,GLQ,695,297,992,NA,0,7,2009,WD,Normal,244000
